,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
198,0.6506406784057617,0.04611313349279984,0.007924270629882813,0.001419216365774256,False,,2,5,100,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7419696277720047,0.6383834518385055,0.5697244836420027,0.6727877757868226,0.6134323833531677,0.6472595444785006,0.058062790116332016,51,1.0,1.0,1.0,1.0,1.0,1.0,0.0
199,1.25811824798584,0.07578979439920754,0.013975811004638673,0.0019738674330846712,False,,2,5,200,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.7016882047132211,0.6965236525274136,0.6159559245969192,0.695982107306256,0.6408854868548307,0.670207075199728,0.03507397588691134,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
200,0.06660308837890624,0.00396222881735135,0.003395271301269531,0.0017642667703274665,False,,2,10,10,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 10}",0.6404074129030805,0.610862079331616,0.5825090745511257,0.574806905942825,0.5898263304304183,0.5996823606318131,0.02364050475276709,202,0.9985685463414732,0.9985689188010128,1.0,1.0,1.0,0.9994274930284972,0.000701174987076382
201,0.320403528213501,0.04888460919175133,0.004785919189453125,0.0008595800044136938,False,,2,10,50,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.6853981181013674,0.6677083333333333,0.5809184929987056,0.6788767772695627,0.5898263304304183,0.6405456104266773,0.04548995011660725,71,1.0,1.0,0.9985689188010128,1.0,1.0,0.9997137837602026,0.0005724324795948644
202,0.6870437145233155,0.07483603403934423,0.008553838729858399,0.0015478589802755676,False,,2,10,100,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.6958484106783056,0.6503494026200973,0.6333333333333333,0.6785644666866483,0.6337563991702796,0.6583704024977328,0.024937689375052176,20,1.0,1.0,1.0,1.0,1.0,1.0,0.0
203,1.33575439453125,0.10078113477870412,0.015272855758666992,0.002199119711352517,False,,2,10,200,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",0.719765295128263,0.7016464154456233,0.5982788631701521,0.6325600960638247,0.6294596515948581,0.6563420642805443,0.04633480741926587,26,1.0,1.0,1.0,1.0,1.0,1.0,0.0
204,0.05831441879272461,0.004070228535083165,0.002106380462646484,0.0002585361382440687,False,,4,2,10,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 10}",0.5979139540863954,0.6266918607452808,0.5441355583548226,0.6094266260816663,0.5408524452393346,0.5838040889014999,0.0349668405487926,216,0.9971354166666667,0.9957035870275044,0.9957035870275044,0.9985689188010128,0.9971354166666667,0.996849385237871,0.0010720196555145589
205,0.3120736122131348,0.018090292605743994,0.005162334442138672,0.0009023939644395703,False,,4,2,50,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",0.6270283317735235,0.6440611887195306,0.6093884109691801,0.6497685983882067,0.5985625323993805,0.6257618124499642,0.01959941899882615,123,1.0,1.0,0.9985689188010128,1.0,1.0,0.9997137837602026,0.0005724324795948644
206,0.6800063610076904,0.10527191604236977,0.0077132701873779295,0.0014372107548798127,False,,4,2,100,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 100}",0.6958585209613152,0.6615482099432778,0.5809184929987056,0.6382590096888986,0.6337563991702796,0.6420681265524953,0.03767161277855732,65,1.0,1.0,1.0,1.0,1.0,1.0,0.0
207,1.216606330871582,0.14832361305785094,0.013892221450805663,0.002507222902155523,False,,4,2,200,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 200}",0.7130987788666115,0.695982107306256,0.581202449429662,0.690150730495216,0.6282776446944284,0.6617423421584347,0.04944379017379631,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
208,0.06247239112854004,0.005797964187816554,0.002391672134399414,0.0003079332112536604,False,,4,5,10,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 10}",0.5805282397141488,0.574806905942825,0.5302083333333333,0.5182822708186985,0.5837563105549674,0.5575164120727945,0.02757566559996937,231,0.9985685463414732,0.9957035870275044,0.9971402515216047,0.9957035870275044,1.0,0.9974231943836174,0.0016700846609405704
209,0.3383547306060791,0.043295862952734146,0.006234407424926758,0.002156811488663547,False,,4,5,50,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 50}",0.7025879359142937,0.6093884109691801,0.6094324365644169,0.6267185517348044,0.6168355021586027,0.6329925674682595,0.03537277290296208,95,1.0,1.0,1.0,1.0,1.0,1.0,0.0
