,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
38,0.00022501945495605468,5.800139467894239e-05,0.0,0.0,0.1,none,sag,"{'C': 0.1, 'penalty': 'none', 'solver': 'sag'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.00023717880249023436,3.0415109624786942e-05,0.0,0.0,0.1,none,saga,"{'C': 0.1, 'penalty': 'none', 'solver': 'saga'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.000206756591796875,8.429968503333788e-05,0.0,0.0,1.0,l1,newton-cg,"{'C': 1, 'penalty': 'l1', 'solver': 'newton-cg'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.00025496482849121096,9.355608233161647e-05,0.0,0.0,1.0,l1,lbfgs,"{'C': 1, 'penalty': 'l1', 'solver': 'lbfgs'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.01767416000366211,0.004262496898024814,0.0012582302093505859,0.0002334692604687194,1.0,l1,liblinear,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.5586334612249554,0.5031488517908178,0.4474533311629651,0.492349628475186,0.48019603839902475,0.4963562622105898,0.03631333474870796,9,0.5414716193789701,0.5558614309193054,0.5793845659412266,0.5730724798189252,0.5501442960524402,0.5599868784221735,0.014171900417673878
43,0.000257110595703125,3.686373761672231e-05,0.0,0.0,1.0,l1,sag,"{'C': 1, 'penalty': 'l1', 'solver': 'sag'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0711512565612793,0.016990030958390342,0.001291513442993164,0.0003129314830519978,1.0,l1,saga,"{'C': 1, 'penalty': 'l1', 'solver': 'saga'}",0.4996951936780015,0.4045743286581601,0.42641416934811344,0.47925723781702034,0.4210595491322425,0.4462000957267076,0.036635323385416564,17,0.4643781050186853,0.5009190049201655,0.4882704182753267,0.4876056673334936,0.5153879988246433,0.4913122388744629,0.016854501373473912
45,0.008173894882202149,0.0006491029496262171,0.001470470428466797,5.912542338332628e-05,1.0,l2,newton-cg,"{'C': 1, 'penalty': 'l2', 'solver': 'newton-cg'}",0.5297533069937602,0.4803256049054611,0.4650045816281204,0.4984447862792268,0.4391546805416387,0.4825365920696415,0.03058345602910376,10,0.5163575400886427,0.5447571041014044,0.5439485428401146,0.5412798851000978,0.5291269648469066,0.5350940073954332,0.010924322613155443
46,0.009466266632080078,0.0029701277395428717,0.0013204097747802734,0.00030108868081721307,1.0,l2,lbfgs,"{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.5297533069937602,0.4803256049054611,0.4650045816281204,0.4984447862792268,0.4391546805416387,0.4825365920696415,0.03058345602910376,10,0.5193945010678858,0.5474480051744278,0.5439485428401146,0.5410924884385675,0.532160044452131,0.5368087163946254,0.010073602499713643
47,0.011902809143066406,0.0010978030529225837,0.0014685630798339845,0.00013932775417097205,1.0,l2,liblinear,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.5297533069937602,0.4803256049054611,0.4650045816281204,0.4984447862792268,0.4391546805416387,0.4825365920696415,0.03058345602910376,10,0.517875611828965,0.5435875905506639,0.5439485428401146,0.5412798851000978,0.5351965107000834,0.5363776282039849,0.00976784599226569
