,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
65,0.06195249557495117,0.006571362086903839,0.0155670166015625,0.0008227851403923277,10.0,auto,rbf,"{'C': 10, 'gamma': 'auto', 'kernel': 'rbf'}",0.5343379276934932,0.5311334776230205,0.6240944094871153,0.5175491695067657,0.5335097208858346,0.5481249410392459,0.038467217646229145,4,0.9040073098929197,0.8813319977350874,0.8813319977350874,0.8955828530214611,0.8854501293537801,0.8895408575476671,0.008913907883349979
66,0.07427363395690918,0.026469399393087043,0.012630224227905273,0.004588770732051556,10.0,auto,poly,"{'C': 10, 'gamma': 'auto', 'kernel': 'poly'}",0.4251367169160709,0.359024561106316,0.42651398141820457,0.4035719090680811,0.3735384696048144,0.3975571276226974,0.02719178309151736,44,0.8280447893851615,0.8208250227621757,0.8322867911255064,0.823766891608476,0.829498244589399,0.8268843478941438,0.004093883926141201
67,0.05106897354125976,0.016615571186089594,0.011750555038452149,0.002963753688926459,10.0,auto,sigmoid,"{'C': 10, 'gamma': 'auto', 'kernel': 'sigmoid'}",0.3954500362299267,0.37893379553244144,0.23542340521311833,0.3175121312459921,0.2788944416709933,0.3212427619784944,0.06001205668613904,58,0.29244791666666664,0.32395833333333335,0.3293436077371006,0.3155441213692389,0.31993006296879367,0.31624480841502667,0.012739239621662377
68,0.6126824378967285,0.15454525387133763,0.0063704967498779295,0.0007911740756208481,10.0,0.01,linear,"{'C': 10, 'gamma': 0.01, 'kernel': 'linear'}",0.5526953793438837,0.49173722834813943,0.4887196529962819,0.5115473225629872,0.5259289944370271,0.514125715537664,0.023580911100824543,11,0.566106569052709,0.5653458607473871,0.5966973634830016,0.5850936990683419,0.5632487570932873,0.5752984498889454,0.013286084523969588
69,0.05115804672241211,0.004163689498333631,0.015356731414794923,0.000928424226094835,10.0,0.01,rbf,"{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}",0.5750546327852951,0.5405396161322801,0.6309654938830218,0.5416666666666666,0.5853035173520137,0.5747059853638554,0.033276114269924655,1,0.7869035694063281,0.7692705668884844,0.7717436331412898,0.7987286812200157,0.7824178249242919,0.781812855116082,0.010687607387942905
70,0.04958720207214355,0.005364282774597641,0.011067676544189452,0.0012574000876039266,10.0,0.01,poly,"{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}",0.31622776601683794,0.33941492632445913,0.3045547950507524,0.2777552847393363,0.3458560258028368,0.3167617595868445,0.02461886472702066,60,0.5252176513354185,0.5354479857600974,0.513069074676508,0.5320678889161903,0.5416025603090641,0.5294810321994557,0.009764799765552537
71,0.04070625305175781,0.006843738748445643,0.009076547622680665,0.001308315616192603,10.0,0.01,sigmoid,"{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}",0.48304589153964794,0.38730463189865144,0.32799430311269206,0.4246134859527906,0.3866660711090643,0.4019248767225692,0.0510053025782651,41,0.4017842644621761,0.42271172423375347,0.3266489053849141,0.41577884639164564,0.40616061405185966,0.39461687090486974,0.03476039085869222
72,0.6231047630310058,0.12523792413230228,0.006245756149291992,0.0007213347644925944,10.0,0.1,linear,"{'C': 10, 'gamma': 0.1, 'kernel': 'linear'}",0.5526953793438837,0.49173722834813943,0.4887196529962819,0.5115473225629872,0.5259289944370271,0.514125715537664,0.023580911100824543,11,0.566106569052709,0.5653458607473871,0.5966973634830016,0.5850936990683419,0.5632487570932873,0.5752984498889454,0.013286084523969588
73,0.08280768394470214,0.01312812333942462,0.027858495712280273,0.006346587116271731,10.0,0.1,rbf,"{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}",0.41805978475571814,0.38335826944652757,0.3947163449977847,0.3948184329744674,0.3226320571022286,0.3827169778553453,0.03209408974945219,52,1.0,1.0,1.0,1.0,1.0,1.0,0.0
74,0.16553616523742676,0.05729186151136503,0.01029963493347168,0.004211933962250685,10.0,0.1,poly,"{'C': 10, 'gamma': 0.1, 'kernel': 'poly'}",0.40959505645784977,0.4523517708899695,0.4169489616279958,0.4588732537680524,0.3544304092945183,0.41843989040767715,0.03731632387864419,31,1.0,1.0,1.0,1.0,1.0,1.0,0.0
